Count,Order ID,Invoice,Payment Date,Order Status,Product ID,Product Name,Quantity,Stock Keeping Unit (SKU),Notes,Price (Rp.),Discount Amount (Rp.),Subsidi Amount (Rp.),Courier,Shipping Price + fee (Rp.),Insurance (Rp.),Total Shipping Fee (Rp.),Total Amount (Rp.),AWB,Jenis Layanan,Bebas Ongkir,Warehouse Origin,Campaign Name,city,user_id
1,724560760,INV/20210301/XXI/III/766121726,01-03-2021 07:53:11,"Transaksi selesai..
Dana akan diteruskan ke penjual.",980008156,"miniletics Tank Top Olahraga Wanita Cross Limit (Cropped Tank) - Black, S",1,CLT_Black_S,,139500,0,0,GrabExpress(Instant),12500,0,12500,2593500,IN-2-0IUPBBUNJSIWHKRC8T44,Same Day,No,Shop Location,-,Kupang,140
,724560760,INV/20210301/XXI/III/766121726,01-03-2021 07:53:11,"Transaksi selesai..
Dana akan diteruskan ke penjual.",1046893982,"miniletics Tank Top Olahraga Wanita ClariTy Tank - Light Purple, S",1,CT_LightPurple_S,,139000,0,0,GrabExpress(Instant),12500,0,12500,2593500,IN-2-0IUPBBUNJSIWHKRC8T44,Same Day,No,Shop Location,-,Kupang,140
,724560760,INV/20210301/XXI/III/766121726,01-03-2021 07:53:11,"Transaksi selesai..
Dana akan diteruskan ke penjual.",1138628370,"miniletics Legging Olahraga Wanita Motion Legging Capri 3/4 - Maroon, S",1,MOL34_Maroon_S,,234500,0,0,GrabExpress(Instant),12500,0,12500,2593500,IN-2-0IUPBBUNJSIWHKRC8T44,Same Day,No,Shop Location,-,Kupang,140
,724560760,INV/20210301/XXI/III/766121726,01-03-2021 07:53:11,"Transaksi selesai..
Dana akan diteruskan ke penjual.",1046900478,"miniletics Baju Olahraga Wanita Tank Top Tie It Strong Tank - Soft Pink, S",1,TST_SoftPink_S,,144000,0,0,GrabExpress(Instant),12500,0,12500,2593500,IN-2-0IUPBBUNJSIWHKRC8T44,Same Day,No,Shop Location,-,Kupang,140
,724560760,INV/20210301/XXI/III/766121726,01-03-2021 07:53:11,"Transaksi selesai..
Dana akan diteruskan ke penjual.",1237450796,"miniletics Celana Olahraga Wanita Motion Shorts - Brick Red, S",1,MOLShorts_BrickRed_S,,184500,0,0,GrabExpress(Instant),12500,0,12500,2593500,IN-2-0IUPBBUNJSIWHKRC8T44,Same Day,No,Shop Location,-,Kupang,140
,724560760,INV/20210301/XXI/III/766121726,01-03-2021 07:53:11,"Transaksi selesai..
Dana akan diteruskan ke penjual.",1237777730,"miniletics Baju Olahraga Wanita Tank Top Sprint Tank - Soft Pink, S",1,SPRTank_SoftPink_S,,164000,0,0,GrabExpress(Instant),12500,0,12500,2593500,IN-2-0IUPBBUNJSIWHKRC8T44,Same Day,No,Shop Location,-,Kupang,140
,724560760,INV/20210301/XXI/III/766121726,01-03-2021 07:53:11,"Transaksi selesai..
Dana akan diteruskan ke penjual.",1237777735,"miniletics Baju Olahraga Wanita Tank Top Sprint Tank - Black, S",1,SPRTank_Black_S,,164000,0,0,GrabExpress(Instant),12500,0,12500,2593500,IN-2-0IUPBBUNJSIWHKRC8T44,Same Day,No,Shop Location,-,Kupang,140
,724560760,INV/20210301/XXI/III/766121726,01-03-2021 07:53:11,"Transaksi selesai..
Dana akan diteruskan ke penjual.",1237777733,"miniletics Baju Olahraga Wanita Tank Top Sprint Tank - White Mint, S",1,SPRTank_WhiteMint_S,,164000,0,0,GrabExpress(Instant),12500,0,12500,2593500,IN-2-0IUPBBUNJSIWHKRC8T44,Same Day,No,Shop Location,-,Kupang,140
,724560760,INV/20210301/XXI/III/766121726,01-03-2021 07:53:11,"Transaksi selesai..
Dana akan diteruskan ke penjual.",1338455405,"miniletics Celana Wanita Ready Anywhere Crop - Alabaster Cream, S",1,RACrop_AlabasterCream_S,,249500,0,0,GrabExpress(Instant),12500,0,12500,2593500,IN-2-0IUPBBUNJSIWHKRC8T44,Same Day,No,Shop Location,-,Kupang,140
,724560760,INV/20210301/XXI/III/766121726,01-03-2021 07:53:11,"Transaksi selesai..
Dana akan diteruskan ke penjual.",1338455400,"miniletics Celana Wanita Ready Anywhere Crop - Grey Sage, M",1,RACrop_GreySage_M,,249500,0,0,GrabExpress(Instant),12500,0,12500,2593500,IN-2-0IUPBBUNJSIWHKRC8T44,Same Day,No,Shop Location,-,Kupang,140
